,track_name,artist,genre,playlist_category,danceability,energy,valence,tempo,duration_ms,popularity,cluster,cluster_name
0,Love Sky,Artist_464,Classical,Chill,0.375,0.374,0.73,149.34,329908,89,1,Happy Long Tracks
1,Fire Dream,Artist_221,Bollywood,Romantic,0.951,0.333,0.185,124.3,339603,91,3,Fast Danceable (High Tempo)
2,Light Night,Artist_357,Jazz,Sleep,0.732,0.176,0.347,195.03,130658,87,3,Fast Danceable (High Tempo)
3,Love Wave Night,Artist_389,Pop,Workout,0.599,0.607,0.663,90.66,90342,71,0,Chill Danceable (Slow Tempo)
4,Fire Light,Artist_451,EDM,Workout,0.156,0.477,0.482,142.3,233893,48,2,Sad Long Tracks
5,Light Fire,Artist_164,Classical,Chill,0.156,0.866,0.739,158.03,232030,10,4,Fast Short Tracks
6,Fire Dance Sky,Artist_283,Rock,Sleep,0.058,0.032,0.961,175.58,83135,89,4,Fast Short Tracks
7,Dream Beat,Artist_60,EDM,Romantic,0.866,0.644,0.117,116.98,246597,54,3,Fast Danceable (High Tempo)
8,Sky Dream Fire,Artist_225,Bollywood,Focus,0.601,0.763,0.71,156.17,179687,35,4,Fast Short Tracks
9,Night Wave Beat,Artist_332,Indie,Chill,0.708,0.759,0.23,102.45,128500,24,0,Chill Danceable (Slow Tempo)
10,Heart Wave,Artist_314,Rock,Romantic,0.021,0.886,0.414,120.97,282072,49,2,Sad Long Tracks
11,Love Dance Night,Artist_51,Rock,Party,0.97,0.729,0.033,185.39,139114,42,3,Fast Danceable (High Tempo)
12,Night Light Sky,Artist_342,Indie,Sleep,0.832,0.928,0.136,192.99,237457,75,3,Fast Danceable (High Tempo)
13,Wave Fire Night,Artist_192,Indie,Sleep,0.212,0.333,0.32,160.63,149942,84,4,Fast Short Tracks
14,Fire Sky,Artist_373,EDM,Focus,0.182,0.503,0.342,112.41,257741,74,2,Sad Long Tracks
15,Fire Night,Artist_243,Jazz,Party,0.183,0.014,0.9,174.81,228078,50,4,Fast Short Tracks
16,Sky Dance Heart,Artist_281,Country,Party,0.304,0.007,0.742,63.62,65786,21,0,Chill Danceable (Slow Tempo)
17,Heart Wave,Artist_88,Indie,Workout,0.525,0.24,0.972,74.38,88878,28,0,Chill Danceable (Slow Tempo)
18,Sky Night,Artist_290,Hip-Hop,Chill,0.432,0.101,0.599,152.59,246796,92,3,Fast Danceable (High Tempo)
19,Light Fire,Artist_31,Classical,Focus,0.291,0.26,0.242,100.77,166661,55,2,Sad Long Tracks
20,Dance Beat,Artist_361,EDM,Chill,0.612,0.177,0.328,193.19,271203,27,3,Fast Danceable (High Tempo)
21,Light Fire Heart,Artist_169,Country,Focus,0.139,0.029,0.32,121.05,137484,97,4,Fast Short Tracks
22,Fire Love,Artist_91,Rock,Workout,0.292,0.909,0.326,120.11,292531,68,2,Sad Long Tracks
23,Beat Sky Night,Artist_378,Country,Travel,0.366,0.008,0.673,154.93,226675,99,1,Happy Long Tracks
24,Wave Heart,Artist_412,Indie,Workout,0.456,0.736,0.531,167.46,258693,84,3,Fast Danceable (High Tempo)
25,Dance Beat,Artist_156,Pop,Focus,0.785,0.152,0.385,126.58,99837,6,0,Chill Danceable (Slow Tempo)
26,Dream Sky Wave,Artist_304,Country,Sleep,0.2,0.912,0.149,89.96,345998,58,2,Sad Long Tracks
27,Light Wave,Artist_92,Country,Romantic,0.514,0.893,0.022,168.26,291761,6,2,Sad Long Tracks
28,Wave Beat Light,Artist_88,Classical,Focus,0.592,0.654,0.219,104.85,340905,60,2,Sad Long Tracks
29,Fire Dream Dance,Artist_44,Pop,Sleep,0.046,0.672,0.107,84.52,112009,81,2,Sad Long Tracks
30,Love Night,Artist_417,Indie,Travel,0.608,0.005,0.785,148.43,61455,19,4,Fast Short Tracks
31,Dream Beat,Artist_300,EDM,Travel,0.171,0.985,0.112,72.66,118332,61,2,Sad Long Tracks
32,Beat Wave,Artist_442,EDM,Chill,0.065,0.878,0.724,195.99,73682,17,4,Fast Short Tracks
33,Light Sky Love,Artist_60,Jazz,Chill,0.949,0.895,0.386,148.54,324034,49,3,Fast Danceable (High Tempo)
34,Light Sky,Artist_330,Country,Travel,0.966,0.659,0.073,198.03,238278,3,3,Fast Danceable (High Tempo)
35,Night Sky Beat,Artist_352,Pop,Workout,0.808,0.345,0.813,107.45,185362,34,0,Chill Danceable (Slow Tempo)
36,Dance Love,Artist_53,EDM,Sleep,0.305,0.894,0.58,195.97,319979,62,3,Fast Danceable (High Tempo)
37,Light Dream Night,Artist_334,Jazz,Chill,0.098,0.292,0.236,80.38,232681,60,2,Sad Long Tracks
38,Light Fire Dream,Artist_145,Bollywood,Chill,0.684,0.563,0.895,65.7,357340,68,1,Happy Long Tracks
39,Dream Light Love,Artist_82,EDM,Party,0.44,0.1,0.045,64.62,262817,87,2,Sad Long Tracks
40,Dance Love Night,Artist_293,Indie,Workout,0.122,0.922,0.202,125.08,154786,82,2,Sad Long Tracks
41,Sky Fire Love,Artist_299,Hip-Hop,Focus,0.495,0.141,0.752,71.62,117390,34,0,Chill Danceable (Slow Tempo)
42,Wave Night,Artist_467,Bollywood,Focus,0.034,0.225,0.709,131.7,100816,29,4,Fast Short Tracks
43,Dance Night,Artist_312,Country,Focus,0.909,0.558,0.289,105.85,247571,60,0,Chill Danceable (Slow Tempo)
44,Dream Dance,Artist_139,Jazz,Focus,0.259,0.764,0.062,106.99,307875,44,2,Sad Long Tracks
45,Sky Light,Artist_258,EDM,Sleep,0.663,0.619,0.858,148.99,329426,15,3,Fast Danceable (High Tempo)
46,Fire Light Wave,Artist_58,Pop,Romantic,0.312,0.232,0.314,82.83,296569,45,2,Sad Long Tracks
47,Beat Heart Dance,Artist_149,Indie,Romantic,0.52,0.001,0.196,167.32,141454,75,4,Fast Short Tracks
48,Night Fire Light,Artist_57,Pop,Romantic,0.547,0.757,0.516,141.48,70446,9,4,Fast Short Tracks
49,Heart Love,Artist_146,EDM,Chill,0.185,0.985,0.91,188.09,76456,35,4,Fast Short Tracks
50,Wave Fire,Artist_4,Rock,Workout,0.97,0.81,0.044,111.08,155490,10,0,Chill Danceable (Slow Tempo)
51,Night Love,Artist_385,Jazz,Chill,0.775,0.46,0.766,197.58,307782,38,3,Fast Danceable (High Tempo)
52,Night Love,Artist_44,Pop,Focus,0.939,0.904,0.572,140.62,358997,29,3,Fast Danceable (High Tempo)
53,Night Light Fire,Artist_111,Bollywood,Party,0.895,0.41,0.425,196.28,165892,46,3,Fast Danceable (High Tempo)
54,Dance Fire Dream,Artist_418,Bollywood,Focus,0.598,0.525,0.744,63.79,303208,70,1,Happy Long Tracks
55,Fire Dance Beat,Artist_263,Indie,Chill,0.922,0.477,0.966,161.92,285800,83,3,Fast Danceable (High Tempo)
56,Night Wave,Artist_493,Hip-Hop,Workout,0.088,0.448,0.229,174.33,211952,90,4,Fast Short Tracks
57,Heart Beat Light,Artist_186,Rock,Sleep,0.196,0.775,0.144,67.44,261357,73,2,Sad Long Tracks
58,Love Night Wave,Artist_356,Hip-Hop,Chill,0.045,0.527,0.913,141.06,327189,45,1,Happy Long Tracks
59,Heart Night Fire,Artist_361,Country,Chill,0.325,0.317,0.669,172.27,355759,77,3,Fast Danceable (High Tempo)
60,Fire Light,Artist_204,Rock,Party,0.389,0.258,0.438,138.55,190321,90,4,Fast Short Tracks
61,Dream Beat Wave,Artist_462,EDM,Party,0.271,0.038,0.573,68.93,282679,53,1,Happy Long Tracks
62,Dance Fire Night,Artist_296,Bollywood,Romantic,0.829,0.583,0.746,157.08,306694,84,3,Fast Danceable (High Tempo)
63,Light Night Love,Artist_298,Country,Travel,0.357,0.23,0.773,68.48,159699,2,1,Happy Long Tracks
64,Night Fire,Artist_98,Jazz,Party,0.281,0.148,0.92,174.45,273530,4,1,Happy Long Tracks
65,Beat Dance,Artist_298,Country,Romantic,0.543,0.654,0.427,66.02,286785,71,2,Sad Long Tracks
66,Fire Beat Love,Artist_62,Indie,Chill,0.141,0.681,0.293,79.24,352570,19,2,Sad Long Tracks
67,Beat Love,Artist_146,Pop,Travel,0.802,0.752,0.64,98.52,336257,99,3,Fast Danceable (High Tempo)
